Difficulty,Pointing System,,,,,
⭐,25,,,,,
⭐⭐,30,,,,,
⭐⭐⭐,35,,,,,
⭐⭐⭐⭐,40,,,,,
⭐⭐⭐⭐⭐,50,,,,,
,,,,,,
#,Level,Challenge Name,Difficulty,Time,Learning Objective,Teacher Notes
1,1,Hello Sprite,⭐,10m,Use On Start & create sprite,Demonstrate block placement
2,1,Splash Screen Intro,⭐,10m,Use splash block,Discuss game introduction
3,1,Talking Character,⭐,15m,Use sprite say block,Add personality text
4,1,Position Master,⭐,15m,Set sprite position,Explain X & Y
5,1,Sound Start,⭐,10m,Play sound block,Explore sound types
6,1,Welcome Game,⭐⭐,20m,Combine splash + sprite + sound,Mini project
7,1,Animal Hello,⭐,15m,Create themed sprite,Creativity focus
8,1,Robot Intro,⭐,15m,Sequence blocks properly,Order matters lesson
9,1,Space Welcome,⭐,15m,Combine say + sound,Theme customization
10,1,Hero Entrance,⭐⭐,20m,Multi-block start setup,Encourage sprite design
11,1,Jungle Start,⭐,15m,Position sprite strategically,Layout awareness
12,1,Mini Story Intro,⭐⭐,20m,Combine multiple start actions,Small storytelling
,,,,,,
#,Level,Challenge Name,Difficulty,Time,Learning Objective,Teacher Notes
13,2,Long Story Text,⭐⭐,20m,Show long text,Narrative building
14,2,Change Text Color,⭐⭐,15m,Modify dialog color,UI customization
15,2,Custom Frame,⭐⭐,20m,Change dialog frame,Style awareness
16,2,Rename Hero,⭐⭐,15m,Rename sprite variable,Clean coding habit
17,2,Pirate Story,⭐⭐,25m,Combine long text + frame,Creativity
18,2,Sci-Fi Dialog,⭐⭐,20m,Themed UI design,Encourage visuals
19,2,Wizard Message,⭐⭐,25m,Combine color + frame,Storytelling
20,2,Game Intro Scene,⭐⭐⭐,30m,Multi-dialog intro,Planning sequence
21,2,Villain Speech,⭐⭐,20m,Dialog pacing,Add dramatic pause
22,2,Space Transmission,⭐⭐,25m,Customize full dialog UI,UI consistency
23,2,Robot Boot Screen,⭐⭐,20m,Styled text intro,Real-world UI example
24,2,Storybook Game,⭐⭐⭐,30m,Full intro storytelling,Peer presentation
,,,,,,
#,Level,Challenge Name,Difficulty,Time,Learning Objective,Teacher Notes
25,3,Button Movement,⭐⭐,20m,Move sprite with buttons,Explain controller
26,3,Stay on Screen,⭐⭐,20m,Keep sprite inside screen,Boundary logic
27,3,Jungle Background,⭐⭐,20m,Set background image,Scene design
28,3,Ocean Swim,⭐⭐,25m,Movement + background,Combine blocks
29,3,City Runner,⭐⭐,25m,Free movement,Encourage map layout
30,3,Maze Starter,⭐⭐⭐,35m,Movement precision,Control practice
31,3,Forest Explorer,⭐⭐,25m,Background theme build,Creativity
32,3,Ice Skater,⭐⭐⭐,35m,Fine movement control,Advanced positioning
33,3,Desert Walk,⭐⭐,25m,Visual storytelling,Theme focus
34,3,Night Adventure,⭐⭐,25m,Scene mood,Discuss color use
35,3,Space Drift,⭐⭐⭐,35m,Smooth control,Control sensitivity
36,3,Mini Exploration Game,⭐⭐⭐,40m,Full movement game,Small project
,,,,,,
,,,,,,
🔵 MIX SET: LEVEL 1–3,,,,,,
Level Mix,Challenge Name,Theme,Description,Sprites,Difficulty,
1–3,Forest Intro Game,Adventure,Splash intro + movement + background.,Explorer,⭐⭐,
1–3,Ocean Greeting Swim,Ocean,Greeting + swim with controls.,Fish,⭐⭐,
1–3,Space Walk,Space,Intro + movement in space background.,Astronaut,⭐⭐,
MIX SET: LEVEL 1–4,,,,,,
Level Mix,Challenge Name,Theme,Description,Sprites,Difficulty,
1–4,Haunted Escape,Horror,Intro + movement + ghost follow + game over.,"Player, Ghost",⭐⭐⭐,
1–4,Treasure Hunt,Adventure,"Player moves, guard follows treasure.","Player, Guard",⭐⭐⭐,
1–4,Alien Run,Space,Alien chase after intro.,"Astronaut, Alien",⭐⭐⭐,
MIX SET: LEVEL 1–5,,,,,,
Level Mix,Challenge Name,Theme,Description,Sprites,Difficulty,
1–5,Timed Coin Rush,Arcade,Collect coins before countdown ends.,"Player, Coin",⭐⭐⭐,
1–5,Survival Game,Action,"Avoid enemies, lose life on hit.","Player, Enemy",⭐⭐⭐,
1–5,Food Festival,Fun,Catch food with scoring & life system.,"Player, Food",⭐⭐⭐,
MIX SET: LEVEL 1–6,,,,,,
Level Mix,Challenge Name,Theme,Description,Sprites,Difficulty,
1–6,Space Blaster,Space,Move + shoot + random enemies.,"Ship, Alien",⭐⭐⭐⭐,
1–6,Monster Shooter,Fantasy,Button press projectile system.,"Knight, Monster",⭐⭐⭐⭐,
1–6,Dodge Arena,Sports,Random bouncing obstacles.,"Player, Ball",⭐⭐⭐⭐,
MIX SET: LEVEL 1–7,,,,,,
Level Mix,Challenge Name,Theme,Description,Sprites,Difficulty,
1–7,Smart Survival,Action,If life > 0 continue else end.,Player,⭐⭐⭐⭐,
1–7,Lucky Shooter,Arcade,Percent chance bonus drop.,"Player, Bonus",⭐⭐⭐⭐,
1–7,Key Escape,Puzzle,Conditional door opening system.,"Player, Key, Door",⭐⭐⭐⭐,
MIX SET: LEVEL 1–8,,,,,,
Level Mix,Challenge Name,Theme,Description,Sprites,Difficulty,
1–8,Ultimate Adventure,Adventure,"Full game with intro, score, enemies, animation & music.","Hero, Enemy, Boss",⭐⭐⭐⭐⭐,
1–8,Music Battle,Action,Shooting + animated boss + melody.,"Player, Boss",⭐⭐⭐⭐⭐,
1–8,Festival Runner,Fun,"Running, collecting, animated sprite, background music.","Player, Items",⭐⭐⭐⭐⭐,
